,play_sequence_num,game_id,home_team,away_team,yardline_100,game_date,game_seconds_remaining,down,ydstogo,play_type,no_huddle,shotgun,pass_length,pass_location,run_location,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,roof,surface,offense_formation,offense_personnel,defenders_in_box,defense_personnel
1420,1,2016_01_MIA_SEA,SEA,MIA,81.0,2016-09-11,3483.0,1.0,10.0,pass,0.0,1.0,short,left,,3.0,3.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1421,3,2016_01_MIA_SEA,SEA,MIA,84.0,2016-09-11,3465.0,2.0,13.0,run,0.0,0.0,,,right,3.0,3.0,0.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1422,4,2016_01_MIA_SEA,SEA,MIA,76.0,2016-09-11,3428.0,3.0,5.0,pass,0.0,1.0,short,left,,3.0,3.0,0.0,outdoors,fieldturf,EMPTY,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1438,5,2016_01_MIA_SEA,SEA,MIA,80.0,2016-09-11,3005.0,1.0,10.0,pass,0.0,1.0,short,right,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1439,6,2016_01_MIA_SEA,SEA,MIA,78.0,2016-09-11,2971.0,2.0,8.0,run,0.0,0.0,,,left,3.0,3.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1440,7,2016_01_MIA_SEA,SEA,MIA,76.0,2016-09-11,2928.0,3.0,6.0,pass,0.0,1.0,short,left,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1441,8,2016_01_MIA_SEA,SEA,MIA,26.0,2016-09-11,2895.0,1.0,10.0,run,0.0,1.0,,,left,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1442,9,2016_01_MIA_SEA,SEA,MIA,23.0,2016-09-11,2862.0,2.0,7.0,pass,0.0,1.0,short,right,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB"
1443,10,2016_01_MIA_SEA,SEA,MIA,22.0,2016-09-11,2826.0,3.0,6.0,pass,0.0,1.0,short,middle,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB"
1444,11,2016_01_MIA_SEA,SEA,MIA,17.0,2016-09-11,2781.0,4.0,1.0,run,0.0,0.0,,,middle,3.0,3.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB"
1451,12,2016_01_MIA_SEA,SEA,MIA,71.0,2016-09-11,2649.0,1.0,10.0,pass,0.0,1.0,deep,middle,,2.0,3.0,-3.0,outdoors,fieldturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 3 LB, 4 DB"
1452,13,2016_01_MIA_SEA,SEA,MIA,71.0,2016-09-11,2641.0,2.0,10.0,pass,0.0,1.0,,,,2.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1453,14,2016_01_MIA_SEA,SEA,MIA,79.0,2016-09-11,2602.0,3.0,18.0,pass,0.0,1.0,short,middle,,2.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 2 LB, 5 DB"
1458,15,2016_01_MIA_SEA,SEA,MIA,42.0,2016-09-11,2451.0,1.0,10.0,run,0.0,0.0,,,right,2.0,3.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1459,16,2016_01_MIA_SEA,SEA,MIA,36.0,2016-09-11,2416.0,2.0,4.0,run,0.0,0.0,,,left,2.0,3.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1460,17,2016_01_MIA_SEA,SEA,MIA,27.0,2016-09-11,2383.0,1.0,10.0,pass,0.0,1.0,deep,left,,2.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1461,18,2016_01_MIA_SEA,SEA,MIA,27.0,2016-09-11,2377.0,2.0,10.0,run,0.0,0.0,,,right,2.0,3.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1462,19,2016_01_MIA_SEA,SEA,MIA,23.0,2016-09-11,2335.0,3.0,6.0,pass,0.0,1.0,short,left,,2.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1473,20,2016_01_MIA_SEA,SEA,MIA,73.0,2016-09-11,2140.0,1.0,10.0,run,0.0,1.0,,,right,2.0,3.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1474,21,2016_01_MIA_SEA,SEA,MIA,62.0,2016-09-11,2113.0,1.0,10.0,run,0.0,1.0,,,middle,2.0,3.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1475,22,2016_01_MIA_SEA,SEA,MIA,57.0,2016-09-11,2078.0,2.0,5.0,pass,0.0,1.0,short,middle,,2.0,3.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1476,23,2016_01_MIA_SEA,SEA,MIA,57.0,2016-09-11,2074.0,3.0,5.0,pass,0.0,1.0,short,right,,2.0,3.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1483,24,2016_01_MIA_SEA,SEA,MIA,62.0,2016-09-11,2008.0,1.0,10.0,pass,0.0,1.0,deep,right,,2.0,3.0,0.0,outdoors,fieldturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 3 LB, 4 DB"
1484,25,2016_01_MIA_SEA,SEA,MIA,62.0,2016-09-11,2003.0,2.0,10.0,run,0.0,0.0,,,right,2.0,3.0,0.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1486,26,2016_01_MIA_SEA,SEA,MIA,67.0,2016-09-11,1945.0,3.0,15.0,pass,0.0,1.0,short,right,,2.0,3.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 2 LB, 5 DB"
1506,27,2016_01_MIA_SEA,SEA,MIA,59.0,2016-09-11,1791.0,1.0,10.0,run,0.0,1.0,,,middle,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1507,28,2016_01_MIA_SEA,SEA,MIA,56.0,2016-09-11,1748.0,2.0,7.0,pass,0.0,1.0,,,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1508,29,2016_01_MIA_SEA,SEA,MIA,65.0,2016-09-11,1715.0,3.0,16.0,pass,0.0,1.0,short,middle,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 2 LB, 5 DB"
1517,30,2016_01_MIA_SEA,SEA,MIA,74.0,2016-09-11,1462.0,1.0,10.0,pass,0.0,0.0,short,right,,3.0,3.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1518,31,2016_01_MIA_SEA,SEA,MIA,73.0,2016-09-11,1435.0,2.0,9.0,run,0.0,1.0,,,right,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB"
1519,32,2016_01_MIA_SEA,SEA,MIA,72.0,2016-09-11,1393.0,3.0,8.0,pass,0.0,1.0,short,right,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1526,33,2016_01_MIA_SEA,SEA,MIA,69.0,2016-09-11,1198.0,1.0,10.0,run,0.0,0.0,,,right,3.0,3.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1527,34,2016_01_MIA_SEA,SEA,MIA,52.0,2016-09-11,1179.0,1.0,10.0,run,0.0,0.0,,,right,3.0,3.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1528,35,2016_01_MIA_SEA,SEA,MIA,52.0,2016-09-11,1150.0,2.0,10.0,run,0.0,1.0,,,left,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1529,36,2016_01_MIA_SEA,SEA,MIA,49.0,2016-09-11,1116.0,3.0,7.0,pass,0.0,1.0,short,right,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB"
1540,37,2016_01_MIA_SEA,SEA,MIA,36.0,2016-09-11,893.0,1.0,10.0,pass,0.0,0.0,short,right,,3.0,3.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB"
1541,38,2016_01_MIA_SEA,SEA,MIA,36.0,2016-09-11,886.0,2.0,10.0,run,0.0,1.0,,,middle,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"4 DL, 3 LB, 4 DB"
1542,39,2016_01_MIA_SEA,SEA,MIA,36.0,2016-09-11,847.0,3.0,10.0,pass,0.0,1.0,short,middle,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1543,40,2016_01_MIA_SEA,SEA,MIA,22.0,2016-09-11,803.0,1.0,10.0,run,0.0,0.0,,,right,3.0,3.0,-3.0,outdoors,fieldturf,I_FORM,"1 RB, 3 TE, 1 WR",8.0,"4 DL, 3 LB, 4 DB"
1544,41,2016_01_MIA_SEA,SEA,MIA,17.0,2016-09-11,772.0,2.0,5.0,pass,0.0,1.0,short,middle,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 2 TE, 2 WR",5.0,"4 DL, 3 LB, 4 DB"
1545,42,2016_01_MIA_SEA,SEA,MIA,17.0,2016-09-11,768.0,3.0,5.0,pass,0.0,1.0,short,right,,3.0,3.0,-3.0,outdoors,fieldturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1546,43,2016_01_MIA_SEA,SEA,MIA,5.0,2016-09-11,725.0,1.0,5.0,pass,0.0,1.0,short,left,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1547,44,2016_01_MIA_SEA,SEA,MIA,5.0,2016-09-11,722.0,2.0,5.0,run,0.0,1.0,,,left,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1548,45,2016_01_MIA_SEA,SEA,MIA,7.0,2016-09-11,681.0,3.0,7.0,pass,0.0,1.0,,,,3.0,3.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB"
1558,46,2016_01_MIA_SEA,SEA,MIA,86.0,2016-09-11,429.0,1.0,10.0,pass,0.0,0.0,deep,left,,3.0,2.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
1559,47,2016_01_MIA_SEA,SEA,MIA,70.0,2016-09-11,393.0,1.0,10.0,run,1.0,0.0,,,right,3.0,2.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB"
1560,48,2016_01_MIA_SEA,SEA,MIA,68.0,2016-09-11,357.0,2.0,8.0,pass,1.0,0.0,short,left,,3.0,2.0,-3.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
1561,49,2016_01_MIA_SEA,SEA,MIA,59.0,2016-09-11,316.0,1.0,10.0,pass,0.0,1.0,short,left,,3.0,2.0,-3.0,outdoors,fieldturf,EMPTY,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 2 LB, 5 DB"
1562,50,2016_01_MIA_SEA,SEA,MIA,31.0,2016-09-11,268.0,1.0,10.0,pass,0.0,1.0,short,left,,3.0,2.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB"
1563,51,2016_01_MIA_SEA,SEA,MIA,2.0,2016-09-11,259.0,1.0,2.0,pass,0.0,1.0,short,left,,3.0,2.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
1564,52,2016_01_MIA_SEA,SEA,MIA,2.0,2016-09-11,252.0,2.0,2.0,run,0.0,1.0,,,middle,3.0,2.0,-3.0,outdoors,fieldturf,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB"
1588,53,2016_01_MIA_SEA,SEA,MIA,82.0,2016-09-11,26.0,1.0,10.0,pass,0.0,1.0,deep,left,,0.0,1.0,-2.0,outdoors,fieldturf,EMPTY,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 2 LB, 5 DB"
1589,54,2016_01_MIA_SEA,SEA,MIA,82.0,2016-09-11,20.0,2.0,10.0,pass,0.0,1.0,,,,0.0,1.0,-2.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 2 LB, 5 DB"
1590,55,2016_01_MIA_SEA,SEA,MIA,91.0,2016-09-11,0.0,3.0,19.0,pass,0.0,1.0,,,,0.0,1.0,-2.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,"4 DL, 2 LB, 5 DB"
4384,1,2016_02_MIA_NE,NE,MIA,70.0,2016-09-18,3327.0,1.0,10.0,run,0.0,0.0,,,right,3.0,3.0,-7.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 2 LB, 5 DB"
4385,1,2016_02_MIA_NE,NE,MIA,67.0,2016-09-18,3293.0,2.0,7.0,pass,0.0,1.0,deep,right,,3.0,3.0,-7.0,outdoors,fieldturf,SHOTGUN,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 2 LB, 5 DB"
4386,3,2016_02_MIA_NE,NE,MIA,67.0,2016-09-18,3287.0,3.0,7.0,pass,0.0,1.0,short,right,,3.0,3.0,-7.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 1 LB, 6 DB"
