name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tampa bay,2016-09-01,83.2,76.1,79.3,93,76.1,83.2,75.8,88.9,0.832,100,54.17,rain,0,0,41.6,22.7,153.3,1010.8,77.4,8.8,90.4,7.8,3,,2016-09-01T07:08:36,2016-09-01T19:50:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
tampa bay,2016-09-02,83.9,77.3,81.1,94,77.3,87.1,76.5,86.3,1.207,100,54.17,rain,0,0,42.2,30,202.5,1013.1,87.7,8.5,121.9,10.4,4,,2016-09-02T07:09:05,2016-09-02T19:49:06,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
tampa bay,2016-09-03,85.8,76.6,80.3,95,76.6,83.1,75.3,85.2,0.379,100,16.67,rain,0,0,,7,231.4,1016.8,60.2,9.7,179.4,15.6,6,,2016-09-03T07:09:33,2016-09-03T19:47:58,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
tampa bay,2016-09-04,91.3,77.3,82.8,101.1,77.3,87.7,74.7,77.6,0.087,100,8.33,rain,0,0,,11.7,322.2,1018.3,58.2,9.6,266.1,22.8,9,,2016-09-04T07:10:02,2016-09-04T19:46:50,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
tampa bay,2016-09-05,91.3,75.9,80.8,102.1,75.9,84.4,74.2,81.3,0.277,100,8.33,rain,0,0,20.8,9.8,54.2,1019.6,75.5,9.6,184.1,16.1,6,,2016-09-05T07:10:30,2016-09-05T19:45:41,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
tampa bay,2016-09-06,90,74.2,81.8,96.7,74.2,84.8,70.6,70.2,0,0,0,,0,0,16.1,9,55.5,1020.4,30.5,9.9,269.8,23.2,9,,2016-09-06T07:10:58,2016-09-06T19:44:33,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
tampa bay,2016-09-07,91.2,74.8,82.5,96.2,74.8,84.9,70,68.3,0,0,0,,0,0,17.2,8.2,64,1020.5,28.1,9.9,216,18.6,8,,2016-09-07T07:11:26,2016-09-07T19:43:24,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
tampa bay,2016-09-08,93.4,72.9,82.6,102,72.9,86.6,71,69.6,0,0,0,,0,0,17.2,8.7,64.6,1018.1,29.5,9.9,256.4,22.4,9,,2016-09-08T07:11:54,2016-09-08T19:42:14,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
tampa bay,2016-09-09,94.3,75.7,84.5,103.5,75.7,90.5,74,72.3,0.006,100,4.17,rain,0,0,,8.2,63.1,1016.7,39.8,9.9,265.5,23,9,,2016-09-09T07:12:22,2016-09-09T19:41:05,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
tampa bay,2016-09-10,93.2,78.2,85.5,102.6,78.2,92,74.7,71.7,0,0,0,,0,0,18.3,7.4,115.1,1017.5,30.4,9.6,273.2,23.6,9,,2016-09-10T07:12:50,2016-09-10T19:39:55,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
