,play_sequence_num,game_id,home_team,away_team,yardline_100,game_date,game_seconds_remaining,down,ydstogo,play_type,no_huddle,shotgun,pass_length,pass_location,run_location,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,roof,surface,offense_formation,offense_personnel,defenders_in_box,defense_personnel
1777,1,2016_01_NE_ARI,ARI,NE,74.0,2016-09-11,3407.0,1.0,10.0,pass,0.0,1.0,short,right,,3.0,3.0,0.0,closed,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB"
1778,3,2016_01_NE_ARI,ARI,NE,74.0,2016-09-11,3401.0,2.0,10.0,run,0.0,0.0,,,right,3.0,3.0,0.0,closed,grass,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
1779,4,2016_01_NE_ARI,ARI,NE,74.0,2016-09-11,3362.0,3.0,10.0,pass,0.0,1.0,short,left,,3.0,3.0,0.0,closed,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
1781,5,2016_01_NE_ARI,ARI,NE,72.0,2016-09-11,3301.0,1.0,19.0,pass,0.0,1.0,short,middle,,3.0,3.0,0.0,closed,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
1782,6,2016_01_NE_ARI,ARI,NE,53.0,2016-09-11,3270.0,1.0,10.0,run,0.0,1.0,,,middle,3.0,3.0,0.0,closed,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB"
1783,7,2016_01_NE_ARI,ARI,NE,51.0,2016-09-11,3227.0,2.0,8.0,pass,0.0,1.0,short,left,,3.0,3.0,0.0,closed,grass,EMPTY,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB"
1784,8,2016_01_NE_ARI,ARI,NE,43.0,2016-09-11,3203.0,1.0,10.0,run,0.0,0.0,,,right,3.0,3.0,0.0,closed,grass,I_FORM,"2 RB, 2 TE, 1 WR",7.0,"3 DL, 4 LB, 4 DB"
1785,9,2016_01_NE_ARI,ARI,NE,37.0,2016-09-11,3162.0,2.0,4.0,pass,0.0,0.0,deep,left,,3.0,3.0,0.0,closed,grass,I_FORM,"2 RB, 1 TE, 2 WR",8.0,"3 DL, 4 LB, 4 DB"
1795,10,2016_01_NE_ARI,ARI,NE,92.0,2016-09-11,3072.0,1.0,10.0,pass,0.0,1.0,short,left,,3.0,3.0,7.0,closed,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
1796,11,2016_01_NE_ARI,ARI,NE,71.0,2016-09-11,3040.0,1.0,10.0,run,0.0,0.0,,,right,3.0,3.0,7.0,closed,grass,I_FORM,"2 RB, 2 TE, 1 WR",8.0,"3 DL, 4 LB, 4 DB"
