,play_sequence_num,game_id,home_team,away_team,yardline_100,game_date,game_seconds_remaining,down,ydstogo,play_type,no_huddle,shotgun,pass_length,pass_location,run_location,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,roof,surface,offense_formation,offense_personnel,defenders_in_box,defense_personnel
520,1,2016_01_CIN_NYJ,NYJ,CIN,78.0,2016-09-11,3449.0,1.0,10.0,pass,0.0,1.0,short,middle,,3.0,2.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
521,3,2016_01_CIN_NYJ,NYJ,CIN,69.0,2016-09-11,3412.0,2.0,1.0,run,0.0,1.0,,,middle,3.0,2.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
522,4,2016_01_CIN_NYJ,NYJ,CIN,65.0,2016-09-11,3375.0,1.0,10.0,pass,0.0,1.0,short,right,,3.0,2.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
523,5,2016_01_CIN_NYJ,NYJ,CIN,65.0,2016-09-11,3372.0,2.0,10.0,run,0.0,1.0,,,middle,3.0,2.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
524,6,2016_01_CIN_NYJ,NYJ,CIN,62.0,2016-09-11,3328.0,3.0,7.0,pass,0.0,1.0,deep,left,,3.0,2.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
525,7,2016_01_CIN_NYJ,NYJ,CIN,44.0,2016-09-11,3288.0,1.0,10.0,run,0.0,0.0,,,right,3.0,2.0,0.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
526,8,2016_01_CIN_NYJ,NYJ,CIN,30.0,2016-09-11,3250.0,1.0,10.0,pass,0.0,0.0,short,right,,3.0,2.0,0.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
527,9,2016_01_CIN_NYJ,NYJ,CIN,30.0,2016-09-11,3247.0,2.0,10.0,pass,0.0,1.0,short,left,,3.0,2.0,0.0,outdoors,fieldturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
528,10,2016_01_CIN_NYJ,NYJ,CIN,20.0,2016-09-11,3202.0,1.0,10.0,run,0.0,1.0,,,middle,3.0,2.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 0 TE, 4 WR",6.0,"4 DL, 2 LB, 5 DB"
530,11,2016_01_CIN_NYJ,NYJ,CIN,3.0,2016-09-11,3163.0,1.0,3.0,pass,0.0,1.0,short,left,,3.0,2.0,0.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
537,12,2016_01_CIN_NYJ,NYJ,CIN,35.0,2016-09-11,3062.0,1.0,10.0,pass,0.0,0.0,short,left,,3.0,2.0,7.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
538,13,2016_01_CIN_NYJ,NYJ,CIN,11.0,2016-09-11,3021.0,1.0,10.0,run,0.0,0.0,,,right,3.0,2.0,7.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
539,14,2016_01_CIN_NYJ,NYJ,CIN,9.0,2016-09-11,2983.0,2.0,8.0,pass,0.0,1.0,short,right,,3.0,2.0,7.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
541,15,2016_01_CIN_NYJ,NYJ,CIN,4.0,2016-09-11,2976.0,1.0,4.0,pass,0.0,1.0,short,right,,3.0,2.0,7.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",8.0,"4 DL, 2 LB, 5 DB"
542,16,2016_01_CIN_NYJ,NYJ,CIN,4.0,2016-09-11,2972.0,2.0,4.0,pass,0.0,1.0,short,middle,,3.0,2.0,7.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
543,17,2016_01_CIN_NYJ,NYJ,CIN,4.0,2016-09-11,2968.0,3.0,4.0,pass,0.0,1.0,short,right,,3.0,2.0,7.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
552,18,2016_01_CIN_NYJ,NYJ,CIN,77.0,2016-09-11,2784.0,1.0,10.0,run,0.0,0.0,,,right,3.0,2.0,4.0,outdoors,fieldturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
553,19,2016_01_CIN_NYJ,NYJ,CIN,79.0,2016-09-11,2746.0,2.0,12.0,pass,0.0,1.0,deep,middle,,3.0,2.0,4.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB"
554,20,2016_01_CIN_NYJ,NYJ,CIN,56.0,2016-09-11,2708.0,1.0,10.0,run,0.0,1.0,,,left,3.0,2.0,4.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
557,21,2016_01_CIN_NYJ,NYJ,CIN,61.0,2016-09-11,2669.0,2.0,15.0,pass,0.0,1.0,short,right,,3.0,2.0,4.0,outdoors,fieldturf,EMPTY,"1 RB, 0 TE, 4 WR",6.0,"4 DL, 2 LB, 5 DB"
558,22,2016_01_CIN_NYJ,NYJ,CIN,61.0,2016-09-11,2631.0,3.0,15.0,pass,0.0,1.0,short,middle,,3.0,2.0,4.0,outdoors,fieldturf,SHOTGUN,"1 RB, 0 TE, 4 WR",5.0,"4 DL, 2 LB, 5 DB"
566,23,2016_01_CIN_NYJ,NYJ,CIN,39.0,2016-09-11,2473.0,1.0,10.0,run,0.0,1.0,,,right,3.0,2.0,-3.0,outdoors,fieldturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
567,24,2016_01_CIN_NYJ,NYJ,CIN,40.0,2016-09-11,2438.0,2.0,11.0,pass,0.0,1.0,short,left,,3.0,2.0,-3.0,outdoors,fieldturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
