,play_sequence_num,game_id,home_team,away_team,yardline_100,game_date,game_seconds_remaining,down,ydstogo,play_type,no_huddle,shotgun,pass_length,pass_location,run_location,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,roof,surface,offense_formation,offense_personnel,defenders_in_box,defense_personnel,weather
9,1,2016_01_BUF_BAL,BAL,BUF,68.0,2016-09-11,3404.0,1.0,10.0,pass,0.0,1.0,short,middle,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
10,3,2016_01_BUF_BAL,BAL,BUF,66.0,2016-09-11,3362.0,2.0,8.0,run,0.0,1.0,,,right,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"6 OL, 1 RB, 2 TE, 1 WR",7.0,"3 DL, 4 LB, 4 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
11,4,2016_01_BUF_BAL,BAL,BUF,72.0,2016-09-11,3315.0,3.0,14.0,pass,0.0,1.0,short,left,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"1 DL, 5 LB, 5 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
20,5,2016_01_BUF_BAL,BAL,BUF,47.0,2016-09-11,3120.0,1.0,10.0,pass,0.0,0.0,short,right,,3.0,3.0,0.0,outdoors,grass,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
21,6,2016_01_BUF_BAL,BAL,BUF,42.0,2016-09-11,3079.0,2.0,5.0,run,0.0,1.0,,,right,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
22,7,2016_01_BUF_BAL,BAL,BUF,43.0,2016-09-11,3035.0,3.0,6.0,pass,0.0,1.0,short,left,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"1 DL, 5 LB, 5 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
36,8,2016_01_BUF_BAL,BAL,BUF,75.0,2016-09-11,2735.0,1.0,10.0,pass,0.0,1.0,short,right,,3.0,3.0,-3.0,outdoors,grass,PISTOL,"2 RB, 1 TE, 2 WR",6.0,"3 DL, 4 LB, 4 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
37,9,2016_01_BUF_BAL,BAL,BUF,74.0,2016-09-11,2704.0,2.0,9.0,run,0.0,1.0,,,left,3.0,3.0,-3.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
39,10,2016_01_BUF_BAL,BAL,BUF,69.0,2016-09-11,2700.0,3.0,4.0,pass,0.0,1.0,short,left,,3.0,3.0,-3.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"1 DL, 5 LB, 5 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
40,11,2016_01_BUF_BAL,BAL,BUF,64.0,2016-09-11,2672.0,1.0,10.0,pass,0.0,1.0,deep,right,,3.0,3.0,-3.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB","Partly Cloudy Temp: 84° F, Humidity: 44%, Wind: NE 8 mph"
