,play_sequence_num,game_id,home_team,away_team,yardline_100,game_date,game_seconds_remaining,down,ydstogo,play_type,no_huddle,shotgun,pass_length,pass_location,run_location,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,roof,surface,offense_formation,offense_personnel,defenders_in_box,defense_personnel,weather
1233,1,2016_01_LA_SF,SF,LA,75.0,2016-09-12,3600.0,1.0,10.0,run,0.0,0.0,,,right,3.0,3.0,0.0,outdoors,grass,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"3 DL, 4 LB, 4 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1234,3,2016_01_LA_SF,SF,LA,71.0,2016-09-12,3557.0,2.0,6.0,pass,0.0,1.0,short,right,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"3 DL, 4 LB, 4 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1235,4,2016_01_LA_SF,SF,LA,69.0,2016-09-12,3516.0,3.0,4.0,pass,0.0,1.0,short,left,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1236,5,2016_01_LA_SF,SF,LA,61.0,2016-09-12,3480.0,1.0,10.0,pass,0.0,1.0,short,left,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 4 LB, 4 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1237,6,2016_01_LA_SF,SF,LA,52.0,2016-09-12,3445.0,2.0,1.0,run,0.0,1.0,,,right,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 3 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1238,7,2016_01_LA_SF,SF,LA,46.0,2016-09-12,3400.0,1.0,10.0,pass,0.0,0.0,short,middle,,3.0,3.0,0.0,outdoors,grass,SINGLEBACK,"1 RB, 2 TE, 2 WR",6.0,"3 DL, 3 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1239,8,2016_01_LA_SF,SF,LA,46.0,2016-09-12,3396.0,2.0,10.0,pass,0.0,1.0,short,right,,3.0,3.0,0.0,outdoors,grass,EMPTY,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 3 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1240,9,2016_01_LA_SF,SF,LA,46.0,2016-09-12,3392.0,3.0,10.0,pass,0.0,1.0,short,right,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 3 LB, 6 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1249,10,2016_01_LA_SF,SF,LA,91.0,2016-09-12,3235.0,1.0,10.0,run,0.0,0.0,,,left,3.0,3.0,0.0,outdoors,grass,I_FORM,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1250,11,2016_01_LA_SF,SF,LA,90.0,2016-09-12,3194.0,2.0,9.0,run,0.0,1.0,,,right,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 3 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
