,play_sequence_num,game_id,home_team,away_team,yardline_100,game_date,game_seconds_remaining,down,ydstogo,play_type,no_huddle,shotgun,pass_length,pass_location,run_location,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,roof,surface,offense_formation,offense_personnel,defenders_in_box,defense_personnel,weather
1242,1,2016_01_LA_SF,SF,LA,82.0,2016-09-12,3380.0,1.0,10.0,run,0.0,1.0,,,left,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1243,3,2016_01_LA_SF,SF,LA,81.0,2016-09-12,3360.0,2.0,9.0,pass,1.0,1.0,short,right,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1244,4,2016_01_LA_SF,SF,LA,81.0,2016-09-12,3357.0,3.0,9.0,run,1.0,1.0,,,middle,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1245,5,2016_01_LA_SF,SF,LA,70.0,2016-09-12,3332.0,1.0,10.0,run,1.0,1.0,,,left,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1246,6,2016_01_LA_SF,SF,LA,67.0,2016-09-12,3304.0,2.0,7.0,pass,1.0,1.0,short,left,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1247,7,2016_01_LA_SF,SF,LA,62.0,2016-09-12,3278.0,3.0,2.0,pass,1.0,1.0,short,left,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1253,8,2016_01_LA_SF,SF,LA,52.0,2016-09-12,3102.0,1.0,10.0,pass,0.0,1.0,short,right,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1254,9,2016_01_LA_SF,SF,LA,46.0,2016-09-12,3080.0,2.0,4.0,pass,1.0,1.0,deep,middle,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1255,10,2016_01_LA_SF,SF,LA,46.0,2016-09-12,3074.0,3.0,4.0,run,1.0,1.0,,,middle,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
1256,11,2016_01_LA_SF,SF,LA,41.0,2016-09-12,3044.0,1.0,10.0,pass,1.0,1.0,short,right,,3.0,3.0,0.0,outdoors,grass,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","Clear Temp: 66° F, Humidity: 56%, Wind: NW 17 mph"
