name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
charlotte,2016-09-01,92.8,69.8,77.6,95.6,69.8,78.9,68.4,76,0.512,100,25,rain,0,0,28.9,11.5,265.6,1012.3,43.3,9.5,279.1,24.3,9,,2016-09-01T06:56:08,2016-09-01T19:49:35,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-02,73.1,66.1,70.7,73.1,66.1,70.7,66.2,86,0.646,100,62.5,rain,0,0,28.2,17.7,29.1,1012.8,96.3,8.1,82.4,7,4,,2016-09-02T06:56:52,2016-09-02T19:48:12,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-03,82.7,62.9,73,83,62.9,73,57.4,59.2,0,0,0,,0,0,26.2,14.1,5.9,1017.4,42.8,9.9,266.6,23.1,9,,2016-09-03T06:57:37,2016-09-03T19:46:49,0.07,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-04,84.4,62.1,73.6,83.8,62.1,73.5,59.8,65.2,0,0,0,,0,0,,7.9,48.2,1022.4,32.3,9.8,274,23.7,9,,2016-09-04T06:58:21,2016-09-04T19:45:25,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-05,86.6,61,74.1,85.6,61,74,59.8,64.3,0,0,0,,0,0,,5.8,30.5,1023.1,15.9,9.9,289.3,25,9,,2016-09-05T06:59:05,2016-09-05T19:44:00,0.14,Clear,Clear conditions throughout the day.,clear-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-06,91.6,63.8,77,88.9,63.8,76.4,59.7,60.5,0,0,0,,0,0,19.7,11.9,317.1,1021.6,6.1,9.9,287.8,24.9,9,,2016-09-06T06:59:49,2016-09-06T19:42:36,0.17,Clear,Clear conditions throughout the day.,clear-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-07,92.8,65.2,78.6,93.3,65.2,78.7,61.8,60.5,0,0,0,,0,0,,8.6,253,1020.3,16.5,9.9,274.5,23.6,9,,2016-09-07T07:00:34,2016-09-07T19:41:11,0.2,Clear,Clear conditions throughout the day.,clear-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-08,92.9,66.4,80,92.7,66.4,80.3,62.9,59.9,0,0,0,,0,0,,8.7,214.4,1017.2,17.5,9.8,267.8,23.3,9,,2016-09-08T07:01:18,2016-09-08T19:39:45,0.24,Clear,Clear conditions throughout the day.,clear-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-09,93.4,69.5,81.4,94.5,69.5,82.4,65.4,61.2,0,0,0,,0,0,,7.7,162.4,1016.2,51.5,9.8,252.5,21.9,9,,2016-09-09T07:02:02,2016-09-09T19:38:19,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-10,92.8,71.3,81.5,93.5,71.3,82.3,65.7,61.9,0,0,0,,0,0,17.2,10.4,189.9,1016.6,44.5,9.7,242.5,21.2,9,,2016-09-10T07:02:46,2016-09-10T19:36:53,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
