name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
houston,2016-09-01,96.2,78.8,86.7,103.1,78.8,92.1,72.7,65.6,0.037,100,4.17,rain,0,0,17.2,10.5,5.5,1012,30.7,9.8,285.1,24.5,9,,2016-09-01T06:58:54,2016-09-01T19:43:10,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KHOU,72059400188,KIAH,72244012918,KMCJ,72243012960"
houston,2016-09-02,93.4,77.2,85.2,102.2,77.2,90.6,72.6,67.2,0,0,0,,0,0,24.2,13.9,345.4,1013.1,30.3,9.6,281,24.4,9,,2016-09-02T06:59:26,2016-09-02T19:41:59,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-03,91.5,76.3,83.6,97.3,76.3,87,70.8,66.8,0,0,0,,0,0,16.1,9.6,49,1014.3,40.9,9.9,276,23.9,9,,2016-09-03T06:59:58,2016-09-03T19:40:48,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,72244012918,KMCJ,72243012960"
houston,2016-09-04,92.9,77.1,83.7,103.4,77.1,89.6,73.9,73.4,0.021,100,20.83,rain,0,0,28.9,15.2,75.3,1014.1,32.4,9.8,232.2,20,8,,2016-09-04T07:00:30,2016-09-04T19:39:36,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-05,89.5,78.3,82.9,98.5,78.3,88.8,74.9,77.6,0.04,100,12.5,rain,0,0,23,15.2,99.7,1016.4,22.2,9.6,163.4,14,6,,2016-09-05T07:01:02,2016-09-05T19:38:24,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-06,93,78.6,84.8,99.5,78.6,89.5,72.7,69.2,0,0,0,,0,0,19.7,13.6,99.7,1018.3,12.8,9.8,250.8,21.6,8,,2016-09-06T07:01:34,2016-09-06T19:37:12,0.17,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-07,94.6,78.5,84,101.6,78.5,89.8,73.6,72,0.032,100,12.5,rain,0,0,25,10.8,106.9,1018.4,17.6,9.9,271,23.5,9,,2016-09-07T07:02:06,2016-09-07T19:35:59,0.21,Rain,Clear conditions throughout the day with afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-08,93.1,80.2,85.1,103.3,85.2,92.6,74.7,72.5,0,0,0,,0,0,20.8,13.7,111.4,1015.6,29.8,9.8,288.6,25.1,9,,2016-09-08T07:02:37,2016-09-08T19:34:46,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-09,90.8,78.6,82.7,100.1,78.6,89,74.5,76.8,0.157,100,12.5,rain,0,0,31.1,9.5,129.7,1014,39.9,9.8,168,14.4,6,,2016-09-09T07:03:09,2016-09-09T19:33:32,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-10,88.9,75.3,79.9,99.6,75.3,82.6,73.3,80.6,0,0,0,,0,0,26.4,11,101.9,1016.5,25.4,9.6,143.3,12.4,5,,2016-09-10T07:03:41,2016-09-10T19:32:19,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-11,90.8,73.3,81.6,97.9,73.3,84.1,69.6,69,0,0,0,,0,0,,11,332.7,1017.5,25.7,9.9,262,22.7,8,,2016-09-11T07:04:12,2016-09-11T19:31:05,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-12,92.7,75.3,83,99.9,75.3,86.9,71.8,70.8,0,0,0,,0,0,,9.8,49.9,1013.9,33.6,9.5,263.7,22.6,8,,2016-09-12T07:04:44,2016-09-12T19:29:51,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-13,90.9,73.8,81,98.6,73.8,84.7,73.1,77.8,0.008,100,12.5,rain,0,0,29.8,12.9,48.6,1013.9,41.2,9.5,240.7,20.7,8,,2016-09-13T07:05:16,2016-09-13T19:28:37,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-14,91.3,76.6,83.2,98.1,76.6,87,72.6,72.6,0,0,0,,0,0,19.7,14,35.3,1015.8,49.1,9.9,258.7,22.5,9,,2016-09-14T07:05:47,2016-09-14T19:27:22,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-15,91.4,76.6,83.6,99.5,76.6,88.3,73.3,72.6,0,0,0,,0,0,23,12.7,75.7,1015,35.3,9.9,258.1,22.2,9,,2016-09-15T07:06:19,2016-09-15T19:26:08,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,72244012918,KMCJ,72243012960"
houston,2016-09-16,89.1,78.4,82.7,99.2,78.4,88.2,75.5,79.7,0.089,100,25,rain,0,0,21.9,12.3,56.5,1012.8,60.6,9.4,206.5,17.7,7,,2016-09-16T07:06:51,2016-09-16T19:24:53,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,KIAH,72244012918,KMCJ,72243012960"
houston,2016-09-17,95,78.6,84.9,102.6,78.6,92,75,73.7,0,0,0,,0,0,,10.9,119.3,1013.6,29.8,9.9,209.4,18,7,,2016-09-17T07:07:23,2016-09-17T19:23:39,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-18,98.1,78.8,86.3,107.2,78.8,94.5,75.6,73.1,0,0,0,,0,0,17.2,12.1,167.6,1013.9,33.6,9.9,177,15.4,6,,2016-09-18T07:07:55,2016-09-18T19:22:24,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-19,95.4,79.1,85.7,106.5,79.1,93.4,75.7,73.9,0,0,0,,0,0,,6.9,194.4,1015.7,41,9.9,249.9,21.5,8,,2016-09-19T07:08:27,2016-09-19T19:21:10,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,72244012918,KMCJ,72243012960"
houston,2016-09-20,95,78.4,84.5,103.4,78.4,89.6,74.5,74,0.001,100,4.17,rain,0,0,20.4,11.3,347.3,1016.3,26.7,9.8,243.4,20.9,8,,2016-09-20T07:08:59,2016-09-20T19:19:55,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KHOU,72059400188,KIAH,72244012918,KMCJ,72243012960"
houston,2016-09-21,93.3,76.8,84.1,95.4,76.8,86.7,69.7,64.4,0,0,0,,0,0,,9.5,353.7,1015,22.4,9.6,269.8,23.3,9,,2016-09-21T07:09:31,2016-09-21T19:18:40,0.67,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-22,91.5,77.1,83.7,100.1,77.1,88.5,72.4,70,0,0,0,,0,0,20.8,15.5,68.4,1013.8,25.2,9.6,263.6,22.8,9,,2016-09-22T07:10:03,2016-09-22T19:17:26,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-23,89.4,76.3,82.3,98,76.3,87.7,73.5,75.4,0.072,100,25,rain,0,0,23,13.8,96,1014.4,32.8,9.4,218.5,18.8,7,,2016-09-23T07:10:36,2016-09-23T19:16:11,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
houston,2016-09-24,90.8,78.5,81.2,98.5,78.5,85.1,74.2,80,0.1,100,29.17,rain,0,0,25.9,14.2,89.6,1014.5,23.9,9.8,115.1,9.9,4,,2016-09-24T07:11:08,2016-09-24T19:14:57,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960"
