name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
jacksonville,2016-09-01,84.6,76.7,80.3,94.9,76.7,84.3,74.5,82.5,0.085,100,12.5,rain,0,0,34.8,16.2,156.6,1012.2,86,9.6,96,8.2,4,,2016-09-01T07:03:34,2016-09-01T19:48:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72206593837,KNIP,KCRG"
jacksonville,2016-09-02,92.7,75.8,83.5,98.8,75.8,87.9,73.6,73.9,1.431,100,54.17,rain,0,0,46.8,30.5,208.9,1008.5,88.4,8,184.9,16.1,6,,2016-09-02T07:04:07,2016-09-02T19:47:36,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72206593837,KNIP,KCRG"
jacksonville,2016-09-03,84.6,75.8,79.4,92,75.8,81.9,73.6,83.1,0.376,100,25,rain,0,0,,11.4,38.8,1016.1,89.7,9.2,142.9,12.4,5,,2016-09-03T07:04:41,2016-09-03T19:46:24,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72206593837,KNIP,KCRG"
jacksonville,2016-09-04,87.5,77,80.9,94.6,77,83.9,73.7,79.6,0.501,100,16.67,rain,0,0,21.9,14.4,46.9,1018.9,82.1,8.8,139.7,12.3,5,,2016-09-04T07:05:14,2016-09-04T19:45:11,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72206593837,KNIP,KCRG"
jacksonville,2016-09-05,87.5,76.9,82.2,88.8,76.9,83.9,67,61.1,0,0,0,,0,0,23,15.8,54.9,1021,57.5,9.9,258,22.3,9,,2016-09-05T07:05:47,2016-09-05T19:43:57,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206593837,KNIP,KCRG"
jacksonville,2016-09-06,87.2,69,79.1,89.2,69,79.8,65.4,64.2,0,0,0,,0,0,16.1,9.8,58.6,1021.8,18.8,9.9,294.7,25.5,9,,2016-09-06T07:06:20,2016-09-06T19:42:44,0.17,Clear,Clear conditions throughout the day.,clear-day,"72206593837,KNIP,KCRG"
jacksonville,2016-09-07,90.3,70.7,80.6,93.5,70.7,81.9,67.2,65.9,0,0,0,,0,0,,9.1,86.9,1021.5,12.6,9.9,294.7,25.5,9,,2016-09-07T07:06:53,2016-09-07T19:41:30,0.2,Clear,Clear conditions throughout the day.,clear-day,"72206593837,KNIP,KCRG"
jacksonville,2016-09-08,91.3,69.8,80.8,90.7,69.8,80.9,64.3,61.1,0,0,0,,0,0,,11.8,104.1,1019.1,11.2,9.6,300.2,25.8,10,,2016-09-08T07:07:26,2016-09-08T19:40:15,0.24,Clear,Clear conditions throughout the day.,clear-day,"72206593837,KNIP,KCRG"
jacksonville,2016-09-09,91.3,69.8,80.8,91.9,69.8,82,66.5,64.1,0,0,0,,0,0,17.2,11.4,84.7,1017.9,35,9.8,287.5,24.8,9,,2016-09-09T07:07:59,2016-09-09T19:39:01,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206593837,KNIP,KCRG"
jacksonville,2016-09-10,93.1,76.9,83.7,98,76.9,87.8,71.9,69.1,0,0,0,,0,0,,12.4,96.6,1018.2,38.8,9.9,276.9,23.7,9,,2016-09-10T07:08:32,2016-09-10T19:37:46,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206593837,KNIP,KCRG"
jacksonville,2016-09-11,93.1,77.7,84.3,101.5,77.7,89.7,73.5,71.5,0,0,0,,0,0,,14,116.1,1018.3,36.8,9.7,254.3,22,9,,2016-09-11T07:09:05,2016-09-11T19:36:31,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206593837,KNIP,KCRG"
